5613, jungle, byg:crag_gardens, WATER_AMBIENT, aquaculture:arapaima,10,1,1
3086, beach, minecraft:snowy_beach, WATER_AMBIENT, aquaculture:atlantic_halibut,10,1,1
3165, beach, minecraft:stony_shore, WATER_AMBIENT, aquaculture:atlantic_halibut,10,1,1
5768, ocean, byg:lush_stacks, WATER_AMBIENT, aquaculture:atlantic_herring,20,1,6
3012, beach, minecraft:beach, WATER_AMBIENT, aquaculture:atlantic_herring,20,1,6
3598, ocean, minecraft:cold_ocean, WATER_AMBIENT, aquaculture:atlantic_herring,20,1,6
3675, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, aquaculture:atlantic_herring,20,1,6
3832, ocean, minecraft:deep_frozen_ocean, WATER_AMBIENT, aquaculture:atlantic_herring,20,1,6
3382, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, aquaculture:atlantic_herring,20,1,6
3524, ocean, minecraft:deep_ocean, WATER_AMBIENT, aquaculture:atlantic_herring,20,1,6
3755, ocean, minecraft:frozen_ocean, WATER_AMBIENT, aquaculture:atlantic_herring,20,1,6
3309, ocean, minecraft:lukewarm_ocean, WATER_AMBIENT, aquaculture:atlantic_herring,20,1,6
3453, ocean, minecraft:ocean, WATER_AMBIENT, aquaculture:atlantic_herring,20,1,6
3090, beach, minecraft:snowy_beach, WATER_AMBIENT, aquaculture:atlantic_herring,20,1,6
3166, beach, minecraft:stony_shore, WATER_AMBIENT, aquaculture:atlantic_herring,20,1,6
4846, plains, byg:autumnal_valley, WATER_AMBIENT, aquaculture:bayad,10,1,2
4925, savanna, byg:baobab_savanna, WATER_AMBIENT, aquaculture:bayad,10,1,2
7478, desert, byg:firecracker_shrubland, WATER_AMBIENT, aquaculture:bayad,10,1,2
6711, desert, byg:mojave_desert, WATER_AMBIENT, aquaculture:bayad,10,1,2
6925, plains, byg:prairie, WATER_AMBIENT, aquaculture:bayad,10,1,2
7080, desert, byg:red_rock_valley, WATER_AMBIENT, aquaculture:bayad,10,1,2
7552, plains, byg:sierra_badlands, WATER_AMBIENT, aquaculture:bayad,10,1,2
6015, desert, byg:windswept_desert, WATER_AMBIENT, aquaculture:bayad,10,1,2
5956, desert, byg:windswept_dunes, WATER_AMBIENT, aquaculture:bayad,10,1,2
2132, mesa, minecraft:badlands, WATER_AMBIENT, aquaculture:bayad,10,1,2
429, desert, minecraft:desert, WATER_AMBIENT, aquaculture:bayad,10,1,2
2204, mesa, minecraft:eroded_badlands, WATER_AMBIENT, aquaculture:bayad,10,1,2
1800, savanna, minecraft:windswept_savanna, WATER_AMBIENT, aquaculture:bayad,10,1,2
2291, mesa, minecraft:wooded_badlands, WATER_AMBIENT, aquaculture:bayad,10,1,2
3595, ocean, minecraft:cold_ocean, WATER_AMBIENT, aquaculture:blackfish,13,1,4
3672, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, aquaculture:blackfish,13,1,4
3829, ocean, minecraft:deep_frozen_ocean, WATER_AMBIENT, aquaculture:blackfish,13,1,4
3752, ocean, minecraft:frozen_ocean, WATER_AMBIENT, aquaculture:blackfish,13,1,4
3087, beach, minecraft:snowy_beach, WATER_AMBIENT, aquaculture:blackfish,13,1,4
4477, plains, byg:allium_fields, WATER_AMBIENT, aquaculture:bluegill,20,1,6
4562, plains, byg:amaranth_fields, WATER_AMBIENT, aquaculture:bluegill,20,1,6
4647, savanna, byg:araucaria_savanna, WATER_AMBIENT, aquaculture:bluegill,20,1,6
4736, forest, byg:aspen_forest, WATER_AMBIENT, aquaculture:bluegill,20,1,6
7246, forest, byg:autumnal_forest, WATER_AMBIENT, aquaculture:bluegill,20,1,6
7328, taiga, byg:autumnal_taiga, WATER_AMBIENT, aquaculture:bluegill,20,1,6
5016, swamp, byg:bayou, WATER_AMBIENT, aquaculture:bluegill,20,1,6
5094, taiga, byg:black_forest, WATER_AMBIENT, aquaculture:bluegill,20,1,6
5179, forest, byg:borealis_grove, WATER_AMBIENT, aquaculture:bluegill,20,1,6
5266, extreme_hills, byg:canadian_shield, WATER_AMBIENT, aquaculture:bluegill,20,1,6
5355, forest, byg:cherry_blossom_forest, WATER_AMBIENT, aquaculture:bluegill,20,1,6
5440, forest, byg:cika_woods, WATER_AMBIENT, aquaculture:bluegill,20,1,6
6641, plains, byg:coconino_meadow, WATER_AMBIENT, aquaculture:bluegill,20,1,6
5522, taiga, byg:coniferous_forest, WATER_AMBIENT, aquaculture:bluegill,20,1,6
5698, swamp, byg:cypress_swamplands, WATER_AMBIENT, aquaculture:bluegill,20,1,6
5895, extreme_hills, byg:dacite_ridges, WATER_AMBIENT, aquaculture:bluegill,20,1,6
6102, forest, byg:ebony_woods, WATER_AMBIENT, aquaculture:bluegill,20,1,6
6185, forest, byg:forgotten_forest, WATER_AMBIENT, aquaculture:bluegill,20,1,6
7959, forest, byg:fragment_forest, WATER_AMBIENT, aquaculture:bluegill,20,1,6
7877, taiga, byg:frosted_coniferous_forest, WATER_AMBIENT, aquaculture:bluegill,20,1,6
7799, taiga, byg:frosted_taiga, WATER_AMBIENT, aquaculture:bluegill,20,1,6
6488, jungle, byg:jacaranda_forest, WATER_AMBIENT, aquaculture:bluegill,20,1,6
6561, taiga, byg:maple_taiga, WATER_AMBIENT, aquaculture:bluegill,20,1,6
6844, plains, byg:orchard, WATER_AMBIENT, aquaculture:bluegill,20,1,6
7013, forest, byg:red_oak_forest, WATER_AMBIENT, aquaculture:bluegill,20,1,6
7720, forest, byg:redwood_thicket, WATER_AMBIENT, aquaculture:bluegill,20,1,6
7166, plains, byg:rose_fields, WATER_AMBIENT, aquaculture:bluegill,20,1,6
7400, icy, byg:shattered_glacier, WATER_AMBIENT, aquaculture:bluegill,20,1,6
7631, extreme_hills, byg:skyris_vale, WATER_AMBIENT, aquaculture:bluegill,20,1,6
6268, plains, byg:temperate_grove, WATER_AMBIENT, aquaculture:bluegill,20,1,6
8333, forest, byg:temperate_rainforest, WATER_AMBIENT, aquaculture:bluegill,20,1,6
8101, forest, byg:twilight_meadow, WATER_AMBIENT, aquaculture:bluegill,20,1,6
8191, forest, byg:weeping_witch_forest, WATER_AMBIENT, aquaculture:bluegill,20,1,6
8413, taiga, byg:zelkova_forest, WATER_AMBIENT, aquaculture:bluegill,20,1,6
786, forest, minecraft:birch_forest, WATER_AMBIENT, aquaculture:bluegill,20,1,6
881, forest, minecraft:dark_forest, WATER_AMBIENT, aquaculture:bluegill,20,1,6
3958, underground, minecraft:dripstone_caves, WATER_AMBIENT, aquaculture:bluegill,20,1,6
698, forest, minecraft:flower_forest, WATER_AMBIENT, aquaculture:bluegill,20,1,6
607, forest, minecraft:forest, WATER_AMBIENT, aquaculture:bluegill,20,1,6
2631, mountain, minecraft:frozen_peaks, WATER_AMBIENT, aquaculture:bluegill,20,1,6
2937, river, minecraft:frozen_river, WATER_AMBIENT, aquaculture:bluegill,20,1,6
2470, forest, minecraft:grove, WATER_AMBIENT, aquaculture:bluegill,20,1,6
354, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:bluegill,20,1,6
2711, mountain, minecraft:jagged_peaks, WATER_AMBIENT, aquaculture:bluegill,20,1,6
4028, underground, minecraft:lush_caves, WATER_AMBIENT, aquaculture:bluegill,20,1,6
2380, mountain, minecraft:meadow, WATER_AMBIENT, aquaculture:bluegill,20,1,6
3888, mushroom, minecraft:mushroom_fields, WATER_AMBIENT, aquaculture:bluegill,20,1,6
969, forest, minecraft:old_growth_birch_forest, WATER_AMBIENT, aquaculture:bluegill,20,1,6
1052, taiga, minecraft:old_growth_pine_taiga, WATER_AMBIENT, aquaculture:bluegill,20,1,6
1138, taiga, minecraft:old_growth_spruce_taiga, WATER_AMBIENT, aquaculture:bluegill,20,1,6
121, plains, minecraft:plains, WATER_AMBIENT, aquaculture:bluegill,20,1,6
2859, river, minecraft:river, WATER_AMBIENT, aquaculture:bluegill,20,1,6
1389, savanna, minecraft:savanna, WATER_AMBIENT, aquaculture:bluegill,20,1,6
1477, savanna, minecraft:savanna_plateau, WATER_AMBIENT, aquaculture:bluegill,20,1,6
281, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:bluegill,20,1,6
2551, mountain, minecraft:snowy_slopes, WATER_AMBIENT, aquaculture:bluegill,20,1,6
1305, taiga, minecraft:snowy_taiga, WATER_AMBIENT, aquaculture:bluegill,20,1,6
2780, mountain, minecraft:stony_peaks, WATER_AMBIENT, aquaculture:bluegill,20,1,6
207, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:bluegill,20,1,6
516, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:bluegill,20,1,6
1221, taiga, minecraft:taiga, WATER_AMBIENT, aquaculture:bluegill,20,1,6
1719, extreme_hills, minecraft:windswept_forest, WATER_AMBIENT, aquaculture:bluegill,20,1,6
1641, extreme_hills, minecraft:windswept_gravelly_hills, WATER_AMBIENT, aquaculture:bluegill,20,1,6
1559, extreme_hills, minecraft:windswept_hills, WATER_AMBIENT, aquaculture:bluegill,20,1,6
4844, plains, byg:autumnal_valley, WATER_AMBIENT, aquaculture:boulti,10,1,3
4923, savanna, byg:baobab_savanna, WATER_AMBIENT, aquaculture:boulti,10,1,3
7476, desert, byg:firecracker_shrubland, WATER_AMBIENT, aquaculture:boulti,10,1,3
6709, desert, byg:mojave_desert, WATER_AMBIENT, aquaculture:boulti,10,1,3
6923, plains, byg:prairie, WATER_AMBIENT, aquaculture:boulti,10,1,3
7078, desert, byg:red_rock_valley, WATER_AMBIENT, aquaculture:boulti,10,1,3
7550, plains, byg:sierra_badlands, WATER_AMBIENT, aquaculture:boulti,10,1,3
6013, desert, byg:windswept_desert, WATER_AMBIENT, aquaculture:boulti,10,1,3
5954, desert, byg:windswept_dunes, WATER_AMBIENT, aquaculture:boulti,10,1,3
2130, mesa, minecraft:badlands, WATER_AMBIENT, aquaculture:boulti,10,1,3
427, desert, minecraft:desert, WATER_AMBIENT, aquaculture:boulti,10,1,3
2202, mesa, minecraft:eroded_badlands, WATER_AMBIENT, aquaculture:boulti,10,1,3
1798, savanna, minecraft:windswept_savanna, WATER_AMBIENT, aquaculture:boulti,10,1,3
2289, mesa, minecraft:wooded_badlands, WATER_AMBIENT, aquaculture:boulti,10,1,3
5003, swamp, byg:bayou, CREATURE, aquaculture:box_turtle,10,1,2
5685, swamp, byg:cypress_swamplands, CREATURE, aquaculture:box_turtle,10,1,2
502, swamp, minecraft:swamp, CREATURE, aquaculture:box_turtle,10,1,2
3881, mushroom, minecraft:mushroom_fields, WATER_AMBIENT, aquaculture:brown_shrooma,26,1,8
4470, plains, byg:allium_fields, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
4555, plains, byg:amaranth_fields, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
4640, savanna, byg:araucaria_savanna, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
4729, forest, byg:aspen_forest, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
7239, forest, byg:autumnal_forest, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
7321, taiga, byg:autumnal_taiga, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
5009, swamp, byg:bayou, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
5087, taiga, byg:black_forest, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
5172, forest, byg:borealis_grove, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
5259, extreme_hills, byg:canadian_shield, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
5348, forest, byg:cherry_blossom_forest, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
5433, forest, byg:cika_woods, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
6634, plains, byg:coconino_meadow, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
5515, taiga, byg:coniferous_forest, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
5691, swamp, byg:cypress_swamplands, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
5888, extreme_hills, byg:dacite_ridges, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
6095, forest, byg:ebony_woods, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
6178, forest, byg:forgotten_forest, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
7952, forest, byg:fragment_forest, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
7873, taiga, byg:frosted_coniferous_forest, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
7795, taiga, byg:frosted_taiga, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
6481, jungle, byg:jacaranda_forest, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
6554, taiga, byg:maple_taiga, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
6837, plains, byg:orchard, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
7006, forest, byg:red_oak_forest, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
7713, forest, byg:redwood_thicket, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
7159, plains, byg:rose_fields, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
7396, icy, byg:shattered_glacier, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
7624, extreme_hills, byg:skyris_vale, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
6261, plains, byg:temperate_grove, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
8326, forest, byg:temperate_rainforest, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
8094, forest, byg:twilight_meadow, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
8184, forest, byg:weeping_witch_forest, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
8406, taiga, byg:zelkova_forest, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
779, forest, minecraft:birch_forest, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
874, forest, minecraft:dark_forest, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
3951, underground, minecraft:dripstone_caves, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
691, forest, minecraft:flower_forest, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
600, forest, minecraft:forest, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
2627, mountain, minecraft:frozen_peaks, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
2932, river, minecraft:frozen_river, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
2466, forest, minecraft:grove, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
350, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
2707, mountain, minecraft:jagged_peaks, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
4021, underground, minecraft:lush_caves, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
2373, mountain, minecraft:meadow, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
3879, mushroom, minecraft:mushroom_fields, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
962, forest, minecraft:old_growth_birch_forest, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
1045, taiga, minecraft:old_growth_pine_taiga, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
1131, taiga, minecraft:old_growth_spruce_taiga, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
114, plains, minecraft:plains, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
2852, river, minecraft:river, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
277, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
2547, mountain, minecraft:snowy_slopes, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
1301, taiga, minecraft:snowy_taiga, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
200, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
509, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
1214, taiga, minecraft:taiga, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
1712, extreme_hills, minecraft:windswept_forest, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
1634, extreme_hills, minecraft:windswept_gravelly_hills, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
1552, extreme_hills, minecraft:windswept_hills, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
4843, plains, byg:autumnal_valley, WATER_AMBIENT, aquaculture:capitaine,10,1,1
4922, savanna, byg:baobab_savanna, WATER_AMBIENT, aquaculture:capitaine,10,1,1
7475, desert, byg:firecracker_shrubland, WATER_AMBIENT, aquaculture:capitaine,10,1,1
6708, desert, byg:mojave_desert, WATER_AMBIENT, aquaculture:capitaine,10,1,1
6922, plains, byg:prairie, WATER_AMBIENT, aquaculture:capitaine,10,1,1
7077, desert, byg:red_rock_valley, WATER_AMBIENT, aquaculture:capitaine,10,1,1
7549, plains, byg:sierra_badlands, WATER_AMBIENT, aquaculture:capitaine,10,1,1
6012, desert, byg:windswept_desert, WATER_AMBIENT, aquaculture:capitaine,10,1,1
5953, desert, byg:windswept_dunes, WATER_AMBIENT, aquaculture:capitaine,10,1,1
2129, mesa, minecraft:badlands, WATER_AMBIENT, aquaculture:capitaine,10,1,1
426, desert, minecraft:desert, WATER_AMBIENT, aquaculture:capitaine,10,1,1
2201, mesa, minecraft:eroded_badlands, WATER_AMBIENT, aquaculture:capitaine,10,1,1
1797, savanna, minecraft:windswept_savanna, WATER_AMBIENT, aquaculture:capitaine,10,1,1
2288, mesa, minecraft:wooded_badlands, WATER_AMBIENT, aquaculture:capitaine,10,1,1
4471, plains, byg:allium_fields, WATER_AMBIENT, aquaculture:carp,10,1,3
4556, plains, byg:amaranth_fields, WATER_AMBIENT, aquaculture:carp,10,1,3
4641, savanna, byg:araucaria_savanna, WATER_AMBIENT, aquaculture:carp,10,1,3
4730, forest, byg:aspen_forest, WATER_AMBIENT, aquaculture:carp,10,1,3
7240, forest, byg:autumnal_forest, WATER_AMBIENT, aquaculture:carp,10,1,3
7322, taiga, byg:autumnal_taiga, WATER_AMBIENT, aquaculture:carp,10,1,3
5010, swamp, byg:bayou, WATER_AMBIENT, aquaculture:carp,10,1,3
5088, taiga, byg:black_forest, WATER_AMBIENT, aquaculture:carp,10,1,3
5173, forest, byg:borealis_grove, WATER_AMBIENT, aquaculture:carp,10,1,3
5260, extreme_hills, byg:canadian_shield, WATER_AMBIENT, aquaculture:carp,10,1,3
5349, forest, byg:cherry_blossom_forest, WATER_AMBIENT, aquaculture:carp,10,1,3
5434, forest, byg:cika_woods, WATER_AMBIENT, aquaculture:carp,10,1,3
6635, plains, byg:coconino_meadow, WATER_AMBIENT, aquaculture:carp,10,1,3
5516, taiga, byg:coniferous_forest, WATER_AMBIENT, aquaculture:carp,10,1,3
5692, swamp, byg:cypress_swamplands, WATER_AMBIENT, aquaculture:carp,10,1,3
5889, extreme_hills, byg:dacite_ridges, WATER_AMBIENT, aquaculture:carp,10,1,3
6096, forest, byg:ebony_woods, WATER_AMBIENT, aquaculture:carp,10,1,3
6179, forest, byg:forgotten_forest, WATER_AMBIENT, aquaculture:carp,10,1,3
7953, forest, byg:fragment_forest, WATER_AMBIENT, aquaculture:carp,10,1,3
7874, taiga, byg:frosted_coniferous_forest, WATER_AMBIENT, aquaculture:carp,10,1,3
7796, taiga, byg:frosted_taiga, WATER_AMBIENT, aquaculture:carp,10,1,3
6482, jungle, byg:jacaranda_forest, WATER_AMBIENT, aquaculture:carp,10,1,3
6555, taiga, byg:maple_taiga, WATER_AMBIENT, aquaculture:carp,10,1,3
6838, plains, byg:orchard, WATER_AMBIENT, aquaculture:carp,10,1,3
7007, forest, byg:red_oak_forest, WATER_AMBIENT, aquaculture:carp,10,1,3
7714, forest, byg:redwood_thicket, WATER_AMBIENT, aquaculture:carp,10,1,3
7160, plains, byg:rose_fields, WATER_AMBIENT, aquaculture:carp,10,1,3
7397, icy, byg:shattered_glacier, WATER_AMBIENT, aquaculture:carp,10,1,3
7625, extreme_hills, byg:skyris_vale, WATER_AMBIENT, aquaculture:carp,10,1,3
6262, plains, byg:temperate_grove, WATER_AMBIENT, aquaculture:carp,10,1,3
8327, forest, byg:temperate_rainforest, WATER_AMBIENT, aquaculture:carp,10,1,3
8095, forest, byg:twilight_meadow, WATER_AMBIENT, aquaculture:carp,10,1,3
8185, forest, byg:weeping_witch_forest, WATER_AMBIENT, aquaculture:carp,10,1,3
8407, taiga, byg:zelkova_forest, WATER_AMBIENT, aquaculture:carp,10,1,3
780, forest, minecraft:birch_forest, WATER_AMBIENT, aquaculture:carp,10,1,3
875, forest, minecraft:dark_forest, WATER_AMBIENT, aquaculture:carp,10,1,3
3952, underground, minecraft:dripstone_caves, WATER_AMBIENT, aquaculture:carp,10,1,3
692, forest, minecraft:flower_forest, WATER_AMBIENT, aquaculture:carp,10,1,3
601, forest, minecraft:forest, WATER_AMBIENT, aquaculture:carp,10,1,3
2628, mountain, minecraft:frozen_peaks, WATER_AMBIENT, aquaculture:carp,10,1,3
2933, river, minecraft:frozen_river, WATER_AMBIENT, aquaculture:carp,10,1,3
2467, forest, minecraft:grove, WATER_AMBIENT, aquaculture:carp,10,1,3
351, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:carp,10,1,3
2708, mountain, minecraft:jagged_peaks, WATER_AMBIENT, aquaculture:carp,10,1,3
4022, underground, minecraft:lush_caves, WATER_AMBIENT, aquaculture:carp,10,1,3
2374, mountain, minecraft:meadow, WATER_AMBIENT, aquaculture:carp,10,1,3
3882, mushroom, minecraft:mushroom_fields, WATER_AMBIENT, aquaculture:carp,10,1,3
963, forest, minecraft:old_growth_birch_forest, WATER_AMBIENT, aquaculture:carp,10,1,3
1046, taiga, minecraft:old_growth_pine_taiga, WATER_AMBIENT, aquaculture:carp,10,1,3
1132, taiga, minecraft:old_growth_spruce_taiga, WATER_AMBIENT, aquaculture:carp,10,1,3
115, plains, minecraft:plains, WATER_AMBIENT, aquaculture:carp,10,1,3
2853, river, minecraft:river, WATER_AMBIENT, aquaculture:carp,10,1,3
1386, savanna, minecraft:savanna, WATER_AMBIENT, aquaculture:carp,10,1,3
1474, savanna, minecraft:savanna_plateau, WATER_AMBIENT, aquaculture:carp,10,1,3
278, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:carp,10,1,3
2548, mountain, minecraft:snowy_slopes, WATER_AMBIENT, aquaculture:carp,10,1,3
1302, taiga, minecraft:snowy_taiga, WATER_AMBIENT, aquaculture:carp,10,1,3
2777, mountain, minecraft:stony_peaks, WATER_AMBIENT, aquaculture:carp,10,1,3
201, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:carp,10,1,3
510, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:carp,10,1,3
1215, taiga, minecraft:taiga, WATER_AMBIENT, aquaculture:carp,10,1,3
1713, extreme_hills, minecraft:windswept_forest, WATER_AMBIENT, aquaculture:carp,10,1,3
1635, extreme_hills, minecraft:windswept_gravelly_hills, WATER_AMBIENT, aquaculture:carp,10,1,3
1553, extreme_hills, minecraft:windswept_hills, WATER_AMBIENT, aquaculture:carp,10,1,3
4475, plains, byg:allium_fields, WATER_AMBIENT, aquaculture:catfish,10,1,1
4560, plains, byg:amaranth_fields, WATER_AMBIENT, aquaculture:catfish,10,1,1
4645, savanna, byg:araucaria_savanna, WATER_AMBIENT, aquaculture:catfish,10,1,1
4734, forest, byg:aspen_forest, WATER_AMBIENT, aquaculture:catfish,10,1,1
7244, forest, byg:autumnal_forest, WATER_AMBIENT, aquaculture:catfish,10,1,1
7326, taiga, byg:autumnal_taiga, WATER_AMBIENT, aquaculture:catfish,10,1,1
5014, swamp, byg:bayou, WATER_AMBIENT, aquaculture:catfish,10,1,1
5092, taiga, byg:black_forest, WATER_AMBIENT, aquaculture:catfish,10,1,1
5177, forest, byg:borealis_grove, WATER_AMBIENT, aquaculture:catfish,10,1,1
5264, extreme_hills, byg:canadian_shield, WATER_AMBIENT, aquaculture:catfish,10,1,1
5353, forest, byg:cherry_blossom_forest, WATER_AMBIENT, aquaculture:catfish,10,1,1
5438, forest, byg:cika_woods, WATER_AMBIENT, aquaculture:catfish,10,1,1
6639, plains, byg:coconino_meadow, WATER_AMBIENT, aquaculture:catfish,10,1,1
5520, taiga, byg:coniferous_forest, WATER_AMBIENT, aquaculture:catfish,10,1,1
5696, swamp, byg:cypress_swamplands, WATER_AMBIENT, aquaculture:catfish,10,1,1
5893, extreme_hills, byg:dacite_ridges, WATER_AMBIENT, aquaculture:catfish,10,1,1
6100, forest, byg:ebony_woods, WATER_AMBIENT, aquaculture:catfish,10,1,1
6183, forest, byg:forgotten_forest, WATER_AMBIENT, aquaculture:catfish,10,1,1
7957, forest, byg:fragment_forest, WATER_AMBIENT, aquaculture:catfish,10,1,1
6486, jungle, byg:jacaranda_forest, WATER_AMBIENT, aquaculture:catfish,10,1,1
6559, taiga, byg:maple_taiga, WATER_AMBIENT, aquaculture:catfish,10,1,1
6842, plains, byg:orchard, WATER_AMBIENT, aquaculture:catfish,10,1,1
7011, forest, byg:red_oak_forest, WATER_AMBIENT, aquaculture:catfish,10,1,1
7718, forest, byg:redwood_thicket, WATER_AMBIENT, aquaculture:catfish,10,1,1
7164, plains, byg:rose_fields, WATER_AMBIENT, aquaculture:catfish,10,1,1
7629, extreme_hills, byg:skyris_vale, WATER_AMBIENT, aquaculture:catfish,10,1,1
